"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"
""," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"
"Country"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"
"Afghanistan","2.6","7.5","10.1","2.7","7.8","10.5","2.8","8.3","11.1","2.9","9.2","12.1","3","10.5","13.5","3.1","11.1","14.2","3.2","11.7","14.9","3.4","12.5","15.9","3.6","13.4","17","3.7","14.5","18.2","3.9","15.5","19.3","4","16.2","20.3","4.2","16.8","21","4.4","17.3","21.7","4.4","17.7","22.1","4.4","18.1","22.4","4.4","18.4","22.8","4.4","18.6","23"
"Albania","0.4","0.4","0.8","0.4","0.4","0.8","0.4","0.5","0.9","0.4","0.6","1","0.4","0.7","1.1","0.4","0.8","1.2","0.5","0.9","1.3","0.5","1","1.5","0.6","1.1","1.7","0.6","1.4","2","0.7","1.6","2.3","0.8","1.8","2.6","0.8","2.1","3","0.9","2.4","3.3","1","2.8","3.7","1","3.1","4.2","1.1","3.6","4.7","1.2","4","5.2"
"Algeria","0.8","2.4","3.2","0.8","2.4","3.2","0.8","2.4","3.2","0.8","2.4","3.2","0.8","2.3","3.2","0.9","2.3","3.2","0.9","2.3","3.2","0.9","2.3","3.2","0.9","2.4","3.4","1","2.7","3.6","1","3","4","1","3.4","4.4","1","3.7","4.7","1.1","4","5.1","1.1","4.3","5.4","1.1","4.7","5.8","1.1","5","6.1","1.1","5.3","6.4"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","2.2","11.3","13.5","2.2","12","14.3","2.3","12.9","15.2","2.4","14.1","16.4","2.4","16.3","18.7","2.5","17.9","20.5","2.6","19.4","22.1","2.7","21","23.7","2.8","22.6","25.4","3","24.4","27.4","3.1","26.4","29.5","3.2","28.8","32","3.3","31","34.3","3.5","32.8","36.3","3.6","34.3","37.9","3.6","35.7","39.3","3.7","36.1","39.8","3.8","37.3","41.1"
"Antigua and Barbuda","0","0.5","0.5","0","0.3","0.3","0","0.4","0.4","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.5","0.5","0.3","0.5","0.7","0.3","0.5","0.7","0.2","0.5","0.7","0","0.5","0.5","0","0.5","0.5","0","0.6","0.6","0","0.3","0.3","0","0.4","0.4","0","0","0"
